name_or_code,code,count,sample1
"Player's Handbook (2014) p. 148,",PHB,184,"Player's Handbook (2014) p. 148,"
Planescape: Adventures in the Multiverse,PS:AiM,181,Source:	Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 12</text>
"Eberron: Rising from the Last War p. 276,",ERLW,166,"Eberron: Rising from the Last War p. 276,"
"Dungeon Master's Guide (2014) p. 206,",DMG,147,"Dungeon Master's Guide (2014) p. 206,"
"The Book of Many Things p. 67,",BOMT,121,"The Book of Many Things p. 67,"
Spelljammer: Adventures in Space,SAS,119,Source:	Spelljammer: Adventures in Space - Astral Adventurer's Guide p. 22</text>
Dragonlance: Shadow of the Dragon Queen,D:SDQ,99,Source:	Dragonlance: Shadow of the Dragon Queen p. 34</text>
"The Book of Many Things p. 65,",BOMT,84,"The Book of Many Things p. 65,"
The Wild Beyond the Witchlight,WBW,80,Source:	The Wild Beyond the Witchlight p. 208</text>
Phandelver and Below: The Shattered Obelisk,PBTSO,80,Source:	Phandelver and Below: The Shattered Obelisk p. 217</text>
"Eberron: Rising from the Last War p. 277,",ERLW,77,"Eberron: Rising from the Last War p. 277,"
Journeys through the Radiant Citadel,JRC,75,Source:	Journeys through the Radiant Citadel p. 214</text>
Plane Shift: Ixalan,PS:I,75,<text>Source:	Plane Shift: Ixalan p. 24</text>
Strixhaven: A Curriculum of Chaos,SCC,74,Source:	Strixhaven: A Curriculum of Chaos p. 37</text>
Vecna: Eve of Ruin,VEOR,73,Source:	Vecna: Eve of Ruin p. 46</text>
Player's Handbook (2014) p. 149,PHB,72,Player's Handbook (2014) p. 149
"Vianna's Exotic Weapons (Homebrew), Player's Handbook (2014) p. 149",PHB,72,"Vianna's Exotic Weapons (Homebrew), Player's Handbook (2014) p. 149"
Van Richten's Guide to Ravenloft,VRGR,68,Source:	Van Richten's Guide to Ravenloft p. 28</text>
Plane Shift: Amonkhet,PS:A,66,Source:	Plane Shift: Amonkhet p. 27</text>
Player's Handbook (2014) p. 157,PHB,65,Player's Handbook (2014) p. 157
Dungeon Master's Guide (2014) p. 134,DMG,62,Dungeon Master's Guide (2014) p. 134
"Dungeon Master's Guide (2014) p. 172,",DMG,59,"Dungeon Master's Guide (2014) p. 172,"
"Volo's Guide to Monsters p. 81,",VGM,57,"Volo's Guide to Monsters p. 81,"
"Bigby Presents: Glory of the Giants p. 111,",BP:GOG,57,"Bigby Presents: Glory of the Giants p. 111,"
Player's Handbook (2014) p. 72,PHB,55,Player's Handbook (2014) p. 72
"The Book of Many Things p. 36,",BOMT,53,"The Book of Many Things p. 36,"
"Xanathar's Guide to Everything p. 138,",XGE,51,"Xanathar's Guide to Everything p. 138,"
"Dungeon Master's Guide (2014) p. 164,",DMG,50,"Dungeon Master's Guide (2014) p. 164,"
"Dungeon Master's Guide (2014) p. 161,",DMG,49,"Dungeon Master's Guide (2014) p. 161,"
"Dungeon Master's Guide (2014) p. 166,",DMG,49,"Dungeon Master's Guide (2014) p. 166,"
"Dungeon Master's Guide (2014) p. 170,",DMG,49,"Dungeon Master's Guide (2014) p. 170,"
"Dungeon Master's Guide (2014) p. 171,",DMG,49,"Dungeon Master's Guide (2014) p. 171,"
"Dungeon Master's Guide (2014) p. 174,",DMG,49,"Dungeon Master's Guide (2014) p. 174,"
"Dungeon Master's Guide (2014) p. 179,",DMG,49,"Dungeon Master's Guide (2014) p. 179,"
"Dungeon Master's Guide (2014) p. 183,",DMG,49,"Dungeon Master's Guide (2014) p. 183,"
"Dungeon Master's Guide (2014) p. 207,",DMG,49,"Dungeon Master's Guide (2014) p. 207,"
"Fizban's Treasury of Dragons p. 22,",FTD,49,"Fizban's Treasury of Dragons p. 22,"
"The Book of Many Things p. 68,",BOMT,49,"The Book of Many Things p. 68,"
"Explorer's Guide to Wildemount p. 265,",EGW,49,"Explorer's Guide to Wildemount p. 265,"
"Xanathar's Guide to Everything p. 136,",XGE,46,"Xanathar's Guide to Everything p. 136,"
Player's Handbook (2014) p. 164,PHB,41,Player's Handbook (2014) p. 164
Player's Handbook (2014) p. 150,PHB,41,Player's Handbook (2014) p. 150
"Eberron: Rising from the Last War p. 278,",ERLW,41,"Eberron: Rising from the Last War p. 278,"
Player's Handbook (2014) p. 151,PHB,40,Player's Handbook (2014) p. 151
Dungeon Master's Guide (2014) p. 135,DMG,39,Dungeon Master's Guide (2014) p. 135
Player's Handbook (2014) p. 102,PHB,38,Player's Handbook (2014) p. 102
Quests from the Infinite Staircase,QIS,37,Source:	Quests from the Infinite Staircase p. 190</text>
"Xanathar's Guide to Everything p. 139,",XGE,37,"Xanathar's Guide to Everything p. 139,"
Vecna: Eve of Ruin,VEOR,34,Vecna: Eve of Ruin
Player's Handbook (2014) p. 94,PHB,33,Player's Handbook (2014) p. 94
"Player's Handbook (2014) p. 154,",PHB,33,"Player's Handbook (2014) p. 154,"
"Dungeon Master's Guide (2014) p. 150,",DMG,33,"Dungeon Master's Guide (2014) p. 150,"
"The Book of Many Things p. 66,",BOMT,30,"The Book of Many Things p. 66,"
Plane Shift: Ixalan p. 24,PS:I,30,Plane Shift: Ixalan p. 24
"Vianna's Japanese Weapons (Homebrew), Player's Handbook (2014) p. 149",PHB,30,"Vianna's Japanese Weapons (Homebrew), Player's Handbook (2014) p. 149"
Player's Handbook (2014) p. 153,PHB,27,Player's Handbook (2014) p. 153
Dungeon Master's Guide (2014) p. 188,DMG,27,Dungeon Master's Guide (2014) p. 188
"Dungeon Master's Guide (2014) p. 181,",DMG,26,"Dungeon Master's Guide (2014) p. 181,"
"Explorer's Guide to Wildemount p. 267,",EGW,26,"Explorer's Guide to Wildemount p. 267,"
Keys from the Golden Vault,KGV,25,Source:	Keys from the Golden Vault p. 207</text>
Unearthed Arcana: The Mystic Class p. 1,UA,25,Unearthed Arcana: The Mystic Class p. 1
Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 10,PS:AiM,24,Planescape: Adventures in the Multiverse - Sigil and the Outlands p. 10
Player's Handbook (2014) p. 62,PHB,23,Player's Handbook (2014) p. 62
Player's Handbook (2014) p. 76,PHB,23,Player's Handbook (2014) p. 76
Player's Handbook (2014) p. 105,PHB,23,Player's Handbook (2014) p. 105
Tasha's Cauldron of Everything p. 41,TCE,22,Tasha's Cauldron of Everything p. 41
Player's Handbook (2014) p. 168,PHB,22,Player's Handbook (2014) p. 168
Player's Handbook (2014) p. 58,PHB,21,Player's Handbook (2014) p. 58
Player's Handbook (2014) p. 74,PHB,21,Player's Handbook (2014) p. 74
Player's Handbook (2014) p. 89,PHB,21,Player's Handbook (2014) p. 89
Player's Handbook (2014) p. 93,PHB,21,Player's Handbook (2014) p. 93
Player's Handbook (2014) p. 111,PHB,21,Player's Handbook (2014) p. 111
PHB,PHB,20,"<text>Yours is a path that seeks attunement with the natural world, giving you a kinship with beasts. At 3rd level when you adopt this path, you gain the ability to cast the beast sense and speak with animals spells, but only as rituals, as described in chapter 10 of the PHB."
Player's Handbook (2014) p. 51,PHB,20,Player's Handbook (2014) p. 51
Player's Handbook (2014) p. 82,PHB,20,Player's Handbook (2014) p. 82
Player's Handbook (2014) p. 158,PHB,20,Player's Handbook (2014) p. 158
"Dungeon Master's Guide (2014) p. 182,",DMG,20,"Dungeon Master's Guide (2014) p. 182,"
"Critical Role: Call of the Netherdeep p. 215,",CR:CN,20,"Critical Role: Call of the Netherdeep p. 215,"
Plane Shift: Ixalan p. 25,PS:I,20,Plane Shift: Ixalan p. 25
Tasha's Cauldron of Everything,TCE,20,Tasha's Cauldron of Everything
Tasha's Cauldron of Everything p. 146,TCE,19,Tasha's Cauldron of Everything p. 146
Dungeon Master's Guide (2014) p. 187,DMG,19,Dungeon Master's Guide (2014) p. 187
Player's Handbook (2014) p. 63,PHB,18,Player's Handbook (2014) p. 63
Player's Handbook (2014) p. 64,PHB,18,Player's Handbook (2014) p. 64
Unearthed Arcana: Light - Dark - Underdark! p. 89,UA,18,Unearthed Arcana: Light - Dark - Underdark! p. 89
"Acquisitions Incorporated p. 156,",AI,18,"Acquisitions Incorporated p. 156,"
Tasha's Cauldron of Everything p. 119,TCE,18,Tasha's Cauldron of Everything p. 119
Xanathar's Guide to Everything p. 74,XGE,18,Xanathar's Guide to Everything p. 74
Player's Handbook (2014) p. 99,PHB,17,Player's Handbook (2014) p. 99
Player's Handbook (2014) p. 81,PHB,17,Player's Handbook (2014) p. 81
"Fizban's Treasury of Dragons p. 23,",FTD,17,"Fizban's Treasury of Dragons p. 23,"
Plane Shift: Kaladesh,PS:K,16,Source:	Plane Shift: Kaladesh p. 9</text>
Unearthed Arcana: Three Subclasses p. 2,UA,16,Unearthed Arcana: Three Subclasses p. 2
Player's Handbook (2014) p. 97,PHB,16,Player's Handbook (2014) p. 97
Dungeon Master's Guide (2014) p. 176,DMG,16,Dungeon Master's Guide (2014) p. 176
Dungeon Master's Guide (2014) p. 282,DMG,16,Dungeon Master's Guide (2014) p. 282
Xanathar's Guide to Everything p. 75,XGE,16,Xanathar's Guide to Everything p. 75
Fizban's Treasury of Dragons p. 119,FTD,16,Fizban's Treasury of Dragons p. 119
Fizban's Treasury of Dragons p. 120,FTD,16,Fizban's Treasury of Dragons p. 120
Player's Handbook (2014) p. 50,PHB,15,Player's Handbook (2014) p. 50
Player's Handbook (2014) p. 60,PHB,15,Player's Handbook (2014) p. 60
Player's Handbook (2014) p. 68,PHB,15,Player's Handbook (2014) p. 68
Unearthed Arcana: Gothic Heroes p. 2,UA,15,Unearthed Arcana: Gothic Heroes p. 2
Dungeon Master's Guide (2014) p. 199,DMG,15,Dungeon Master's Guide (2014) p. 199
Tasha's Cauldron of Everything p. 80,TCE,15,Tasha's Cauldron of Everything p. 80
Unearthed Arcana 79: Mages of Strixhaven p. 6,UA,14,Unearthed Arcana 79: Mages of Strixhaven p. 6
Unearthed Arcana 79: Mages of Strixhaven p. 7,UA,14,Unearthed Arcana 79: Mages of Strixhaven p. 7
Tasha's Cauldron of Everything p. 44,TCE,14,Tasha's Cauldron of Everything p. 44
Tasha's Cauldron of Everything p. 65,TCE,14,Tasha's Cauldron of Everything p. 65
"DnDBeyond Unearthed Arcana (Homebrew), Additional Warlock Pacts (Homebrew)",UA,14,"DnDBeyond Unearthed Arcana (Homebrew), Additional Warlock Pacts (Homebrew)"
Unearthed Arcana: Cleric Druid Wizard p. 4,UA,14,Unearthed Arcana: Cleric Druid Wizard p. 4
Tasha's Cauldron of Everything p. 144,TCE,14,Tasha's Cauldron of Everything p. 144
Dungeon Master's Guide (2014) p. 258,DMG,14,Dungeon Master's Guide (2014) p. 258
"Player's Handbook (2014) p. 23,",PHB,14,"Player's Handbook (2014) p. 23,"
Player's Handbook (2014) p. 49,PHB,13,Player's Handbook (2014) p. 49
Dungeon Master's Guide (2014) p. 97,DMG,13,Dungeon Master's Guide (2014) p. 97
Unearthed Arcana: 2020 Subclasses - Part 2 p. 2,UA,13,Unearthed Arcana: 2020 Subclasses - Part 2 p. 2
Unearthed Arcana: Sorcerer p. 1,UA,13,Unearthed Arcana: Sorcerer p. 1
Player's Handbook (2014) p. 112,PHB,13,Player's Handbook (2014) p. 112
"Eberron: Rising from the Last War p. 57,",ERLW,13,"Eberron: Rising from the Last War p. 57,"
Dungeon Master's Guide (2014) p. 165,DMG,13,Dungeon Master's Guide (2014) p. 165
Dungeon Master's Guide (2014) p. 192,DMG,13,Dungeon Master's Guide (2014) p. 192
"Player's Handbook (2014) p. 43,",PHB,13,"Player's Handbook (2014) p. 43,"
Bigby Presents: Glory of the Giants p. 19,BP:GOG,13,Bigby Presents: Glory of the Giants p. 19
Unearthed Arcana 79: Mages of Strixhaven p. 4,UA,12,Unearthed Arcana 79: Mages of Strixhaven p. 4
Player's Handbook (2014) p. 61,PHB,12,Player's Handbook (2014) p. 61
Unearthed Arcana 79: Mages of Strixhaven p. 5,UA,12,Unearthed Arcana 79: Mages of Strixhaven p. 5
Player's Handbook (2014) p. 73,PHB,12,Player's Handbook (2014) p. 73
Tasha's Cauldron of Everything p. 42,TCE,12,Tasha's Cauldron of Everything p. 42
Player's Handbook (2014) p. 80,PHB,12,Player's Handbook (2014) p. 80
Unearthed Arcana: 2020 Psionic Options Revisited p. 3,UA,12,Unearthed Arcana: 2020 Psionic Options Revisited p. 3
Player's Handbook (2014) p. 109,PHB,12,Player's Handbook (2014) p. 109
Player's Handbook (2014) p. 116,PHB,12,Player's Handbook (2014) p. 116
Player's Handbook (2014) p. 117,PHB,12,Player's Handbook (2014) p. 117
Player's Handbook (2014) p. 118,PHB,12,Player's Handbook (2014) p. 118
Unearthed Arcana: The Mystic Class p. 6,UA,12,Unearthed Arcana: The Mystic Class p. 6
Unearthed Arcana: The Mystic Class p. 7,UA,12,Unearthed Arcana: The Mystic Class p. 7
"Sword Coast Adventurer's Guide p. 124,",SCAG,12,"Sword Coast Adventurer's Guide p. 124,"
The Book of Many Things p. 37,BOMT,12,The Book of Many Things p. 37
DnDBeyond Unearthed Arcana (Homebrew),UA,12,DnDBeyond Unearthed Arcana (Homebrew)
Unearthed Arcana: Eberron p. 5,UA,12,Unearthed Arcana: Eberron p. 5
Unearthed Arcana: Feats for Skills p. 2,UA,12,Unearthed Arcana: Feats for Skills p. 2
Player's Handbook (2014) p. 46,PHB,11,Player's Handbook (2014) p. 46
Player's Handbook (2014) p. 78,PHB,11,Player's Handbook (2014) p. 78
Unearthed Arcana: Monk p. 1,UA,11,Unearthed Arcana: Monk p. 1
Player's Handbook (2014) p. 110,PHB,11,Player's Handbook (2014) p. 110
Dungeon Master's Guide (2014) p. 268,DMG,11,Dungeon Master's Guide (2014) p. 268
Dungeon Master's Guide (2014) p. 155,DMG,11,Dungeon Master's Guide (2014) p. 155
Dungeon Master's Guide (2014) p. 206,DMG,11,Dungeon Master's Guide (2014) p. 206
Player's Handbook (2014) p. 167,PHB,11,Player's Handbook (2014) p. 167
Player's Handbook (2014) p. 170,PHB,11,Player's Handbook (2014) p. 170
Unearthed Arcana: Barbarian Primal Paths p. 1,UA,10,Unearthed Arcana: Barbarian Primal Paths p. 1
Player's Handbook (2014) p. 54,PHB,10,Player's Handbook (2014) p. 54
Player's Handbook (2014) p. 59,PHB,10,Player's Handbook (2014) p. 59
Plane Shift: Amonkhet p. 28,PS:A,10,Plane Shift: Amonkhet p. 28
Xanathar's Guide to Everything p. 28,XGE,10,Xanathar's Guide to Everything p. 28
Player's Handbook (2014) p. 86,PHB,10,Player's Handbook (2014) p. 86
Tasha's Cauldron of Everything p. 63,TCE,10,Tasha's Cauldron of Everything p. 63
Xanathar's Guide to Everything p. 50,XGE,10,Xanathar's Guide to Everything p. 50
Tasha's Cauldron of Everything p. 73,TCE,10,Tasha's Cauldron of Everything p. 73
"Eberron: Rising from the Last War p. 58,",ERLW,10,"Eberron: Rising from the Last War p. 58,"
Xanathar's Guide to Everything p. 57,XGE,10,Xanathar's Guide to Everything p. 57
"Dungeon Master's Guide (2014) p. 155,",DMG,10,"Dungeon Master's Guide (2014) p. 155,"
Xanathar's Guide to Everything p. 137,XGE,10,Xanathar's Guide to Everything p. 137
Xanathar's Guide to Everything p. 138,XGE,10,Xanathar's Guide to Everything p. 138
"Player's Handbook (2014) p. 31,",PHB,10,"Player's Handbook (2014) p. 31,"
Unearthed Arcana: Feats for Skills p. 3,UA,10,Unearthed Arcana: Feats for Skills p. 3
Unearthed Arcana: Feats for Races p. 3,UA,10,Unearthed Arcana: Feats for Races p. 3
Unearthed Arcana: Kits Of Old p. 4,UA,9,Unearthed Arcana: Kits Of Old p. 4
Tasha's Cauldron of Everything p. 52,TCE,9,Tasha's Cauldron of Everything p. 52
Tasha's Cauldron of Everything p. 57,TCE,9,Tasha's Cauldron of Everything p. 57
Unearthed Arcana: Sorcerer And Warlock p. 2,UA,9,Unearthed Arcana: Sorcerer And Warlock p. 2
Unearthed Arcana: Fighter Rogue and Wizard p. 3,UA,9,Unearthed Arcana: Fighter Rogue and Wizard p. 3
"Eberron: Rising from the Last War p. 59,",ERLW,9,"Eberron: Rising from the Last War p. 59,"
Player's Handbook (2014) p. 152,PHB,9,Player's Handbook (2014) p. 152
Player's Handbook (2014) p. 159,PHB,9,Player's Handbook (2014) p. 159
Dungeon Master's Guide (2014) p. 159,DMG,9,Dungeon Master's Guide (2014) p. 159
Dungeon Master's Guide (2014) p. 167,DMG,9,Dungeon Master's Guide (2014) p. 167
Dungeon Master's Guide (2014) p. 180,DMG,9,Dungeon Master's Guide (2014) p. 180
Dungeon Master's Guide (2014) p. 193,DMG,9,Dungeon Master's Guide (2014) p. 193
Tasha's Cauldron of Everything p. 122,TCE,9,Tasha's Cauldron of Everything p. 122
Tasha's Cauldron of Everything p. 133,TCE,9,Tasha's Cauldron of Everything p. 133
Tasha's Cauldron of Everything p. 135,TCE,9,Tasha's Cauldron of Everything p. 135
Phandelver and Below: The Shattered Obelisk p. 218,PBTSO,9,Phandelver and Below: The Shattered Obelisk p. 218
Tasha's Cauldron of Everything p. 79,TCE,9,Tasha's Cauldron of Everything p. 79
Fizban's Treasury of Dragons p. 82,FTD,9,Fizban's Treasury of Dragons p. 82
Fizban's Treasury of Dragons p. 88,FTD,9,Fizban's Treasury of Dragons p. 88
Fizban's Treasury of Dragons p. 129,FTD,9,Fizban's Treasury of Dragons p. 129
Fizban's Treasury of Dragons p. 137,FTD,9,Fizban's Treasury of Dragons p. 137
Xanathar's Guide to Everything p. 15,XGE,8,Xanathar's Guide to Everything p. 15
Unearthed Arcana 79: Mages of Strixhaven p. 2,UA,8,Unearthed Arcana 79: Mages of Strixhaven p. 2
Tasha's Cauldron of Everything p. 34,TCE,8,Tasha's Cauldron of Everything p. 34
Unearthed Arcana: Modern Magic p. 1,UA,8,Unearthed Arcana: Modern Magic p. 1
Unearthed Arcana 79: Mages of Strixhaven p. 8,UA,8,Unearthed Arcana 79: Mages of Strixhaven p. 8
Xanathar's Guide to Everything p. 30,XGE,8,Xanathar's Guide to Everything p. 30
Unearthed Arcana: Waterborne Adventures p. 3,UA,8,Unearthed Arcana: Waterborne Adventures p. 3
Unearthed Arcana: Kits Of Old p. 3,UA,8,Unearthed Arcana: Kits Of Old p. 3
Unearthed Arcana: Fighter Rogue and Wizard p. 1,UA,8,Unearthed Arcana: Fighter Rogue and Wizard p. 1
Unearthed Arcana: Barbarian And Monk p. 2,UA,8,Unearthed Arcana: Barbarian And Monk p. 2
Tasha's Cauldron of Everything p. 56,TCE,8,Tasha's Cauldron of Everything p. 56
Unearthed Arcana: Sorcerer p. 3,UA,8,Unearthed Arcana: Sorcerer p. 3
Player's Handbook (2014) p. 115,PHB,8,Player's Handbook (2014) p. 115
Unearthed Arcana: Eberron p. 3,UA,8,Unearthed Arcana: Eberron p. 3
Unearthed Arcana: Wizard Revisited p. 1,UA,8,Unearthed Arcana: Wizard Revisited p. 1
Player's Handbook (2014) p. 213,PHB,8,Player's Handbook (2014) p. 213
Player's Handbook (2014) p. 230,PHB,8,Player's Handbook (2014) p. 230
Xanathar's Guide to Everything p. 29,XGE,8,Xanathar's Guide to Everything p. 29
"Eberron: Rising from the Last War p. 62,",ERLW,8,"Eberron: Rising from the Last War p. 62,"
Dungeon Master's Guide (2014) p. 197,DMG,8,Dungeon Master's Guide (2014) p. 197
Dungeon Master's Guide (2014) p. 152,DMG,8,Dungeon Master's Guide (2014) p. 152
Dungeon Master's Guide (2014) p. 156,DMG,8,Dungeon Master's Guide (2014) p. 156
Dungeon Master's Guide (2014) p. 157,DMG,8,Dungeon Master's Guide (2014) p. 157
Dungeon Master's Guide (2014) p. 175,DMG,8,Dungeon Master's Guide (2014) p. 175
Dungeon Master's Guide (2014) p. 191,DMG,8,Dungeon Master's Guide (2014) p. 191
Volo's Guide to Monsters p. 81,VGM,8,Volo's Guide to Monsters p. 81
Xanathar's Guide to Everything p. 139,XGE,8,Xanathar's Guide to Everything p. 139
Critical Role: Call of the Netherdeep p. 214,CR:CN,8,Critical Role: Call of the Netherdeep p. 214
Critical Role: Call of the Netherdeep p. 218,CR:CN,8,Critical Role: Call of the Netherdeep p. 218
The Book of Many Things p. 13,BOMT,8,The Book of Many Things p. 13
The Book of Many Things p. 15,BOMT,8,The Book of Many Things p. 15
Unearthed Arcana: The Artificer p. 6,UA,8,Unearthed Arcana: The Artificer p. 6
"Player's Handbook (2014) p. 20,",PHB,8,"Player's Handbook (2014) p. 20,"
Player's Handbook (2014) p. 165,PHB,8,Player's Handbook (2014) p. 165
Player's Handbook (2014) p. 169,PHB,8,Player's Handbook (2014) p. 169
Tasha's Cauldron of Everything p. 81,TCE,8,Tasha's Cauldron of Everything p. 81
Unearthed Arcana: Feats for Skills p. 1,UA,8,Unearthed Arcana: Feats for Skills p. 1
Fizban's Treasury of Dragons p. 102,FTD,8,Fizban's Treasury of Dragons p. 102
Xanathar's Guide to Everything p. 10,XGE,7,Xanathar's Guide to Everything p. 10
Tasha's Cauldron of Everything p. 24,TCE,7,Tasha's Cauldron of Everything p. 24
Unearthed Arcana: Barbarian And Monk p. 1,UA,7,Unearthed Arcana: Barbarian And Monk p. 1
Unearthed Arcana: 2020 Subclasses - Part 4 p. 1,UA,7,Unearthed Arcana: 2020 Subclasses - Part 4 p. 1
Xanathar's Guide to Everything p. 19,XGE,7,Xanathar's Guide to Everything p. 19
Tasha's Cauldron of Everything p. 30,TCE,7,Tasha's Cauldron of Everything p. 30
Tasha's Cauldron of Everything p. 32,TCE,7,Tasha's Cauldron of Everything p. 32
Plane Shift: Amonkhet p. 24,PS:A,7,Plane Shift: Amonkhet p. 24
Plane Shift: Amonkhet p. 26,PS:A,7,Plane Shift: Amonkhet p. 26
Unearthed Arcana: Cleric Divine Domains p. 3,UA,7,Unearthed Arcana: Cleric Divine Domains p. 3
Tasha's Cauldron of Everything p. 36,TCE,7,Tasha's Cauldron of Everything p. 36
Unearthed Arcana: 2020 Subclasses - Part 3 p. 3,UA,7,Unearthed Arcana: 2020 Subclasses - Part 3 p. 3
Unearthed Arcana: Giant Options p. 3,UA,7,Unearthed Arcana: Giant Options p. 3
Sword Coast Adventurer's Guide p. 128,SCAG,7,Sword Coast Adventurer's Guide p. 128
Xanathar's Guide to Everything p. 31,XGE,7,Xanathar's Guide to Everything p. 31
Explorer's Guide to Wildemount p. 183,EGW,7,Explorer's Guide to Wildemount p. 183
Unearthed Arcana: Fighter p. 2,UA,7,Unearthed Arcana: Fighter p. 2
Tasha's Cauldron of Everything p. 49,TCE,7,Tasha's Cauldron of Everything p. 49
Unearthed Arcana: 2020 Subclasses - Part 1 p. 2,UA,7,Unearthed Arcana: 2020 Subclasses - Part 1 p. 2
Player's Handbook (2014) p. 84,PHB,7,Player's Handbook (2014) p. 84
Xanathar's Guide to Everything p. 41,XGE,7,Xanathar's Guide to Everything p. 41
Xanathar's Guide to Everything p. 42,XGE,7,Xanathar's Guide to Everything p. 42
Xanathar's Guide to Everything p. 43,XGE,7,Xanathar's Guide to Everything p. 43
Tasha's Cauldron of Everything p. 58,TCE,7,Tasha's Cauldron of Everything p. 58
Unearthed Arcana: Ranger And Rogue p. 2,UA,7,Unearthed Arcana: Ranger And Rogue p. 2
Xanathar's Guide to Everything p. 45,XGE,7,Xanathar's Guide to Everything p. 45
Xanathar's Guide to Everything p. 48,XGE,7,Xanathar's Guide to Everything p. 48
Tasha's Cauldron of Everything p. 62,TCE,7,Tasha's Cauldron of Everything p. 62
Unearthed Arcana: Fighter - Ranger - Rogue p. 4,UA,7,Unearthed Arcana: Fighter - Ranger - Rogue p. 4
"Sword Coast Adventurer's Guide p. 137,",SCAG,7,"Sword Coast Adventurer's Guide p. 137,"
Tasha's Cauldron of Everything p. 66,TCE,7,Tasha's Cauldron of Everything p. 66
Unearthed Arcana: Waterborne Adventures p. 4,UA,7,Unearthed Arcana: Waterborne Adventures p. 4
Xanathar's Guide to Everything p. 54,XGE,7,Xanathar's Guide to Everything p. 54
